chemical,Replication,Concentration,Response,celltype,phenotype
Disulfoton,2,1,1.07318612,iCell Hepatocytes,Mitochondrial Integrity
Endrin,2,1,1.041640379,iCell Hepatocytes,Mitochondrial Integrity
Diazinon,2,1,1.059305994,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor epoxide,2,1,1.081388013,iCell Hepatocytes,Mitochondrial Integrity
Pentachlorophenol,2,1,1.094006309,iCell Hepatocytes,Mitochondrial Integrity
Dibutyl phthalate,2,1,1.097791798,iCell Hepatocytes,Mitochondrial Integrity
Chlorpyrifos,2,1,1.03533123,iCell Hepatocytes,Mitochondrial Integrity
Di(2-ethylhexyl) phthalate,2,1,1.110410095,iCell Hepatocytes,Mitochondrial Integrity
"2,4,6-Trichlorophenol",2,1,1.013880126,iCell Hepatocytes,Mitochondrial Integrity
Ethion,2,1,0.991798107,iCell Hepatocytes,Mitochondrial Integrity
Azinphos-methyl,2,1,0.815772871,iCell Hepatocytes,Mitochondrial Integrity
"2,4,5-Trichlorophenol",2,1,1.080757098,iCell Hepatocytes,Mitochondrial Integrity
Parathion,2,1,1.031545741,iCell Hepatocytes,Mitochondrial Integrity
Benzo(b)fluoranthene,2,1,0.923659306,iCell Hepatocytes,Mitochondrial Integrity
Trifluralin,2,1,1.010094637,iCell Hepatocytes,Mitochondrial Integrity
Acenaphthene,2,1,1.046056782,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDD",2,1,1.038485804,iCell Hepatocytes,Mitochondrial Integrity
Benzidine,2,1,1.020820189,iCell Hepatocytes,Mitochondrial Integrity
Endosulfan,2,1,1.030914826,iCell Hepatocytes,Mitochondrial Integrity
Methoxychlor,2,1,0.976656151,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrophenol",2,1,1.031545741,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrotoluene",2,1,0.984227129,iCell Hepatocytes,Mitochondrial Integrity
Dicofol,2,1,1.030283912,iCell Hepatocytes,Mitochondrial Integrity
p-Cresol,2,1,0.984858044,iCell Hepatocytes,Mitochondrial Integrity
"o,p'-DDT",2,1,1.032807571,iCell Hepatocytes,Mitochondrial Integrity
"2-Methyl-4,6-dinitrophenol",2,1,0.992429022,iCell Hepatocytes,Mitochondrial Integrity
"1,2,3-Trichlorobenzene",2,1,0.911671924,iCell Hepatocytes,Mitochondrial Integrity
Lead nitrate,2,1,1.047318612,iCell Hepatocytes,Mitochondrial Integrity
Cadmium chloride,2,1,0.009463722,iCell Hepatocytes,Mitochondrial Integrity
Zinc chloride,2,1,0.979810726,iCell Hepatocytes,Mitochondrial Integrity
Mercuric chloride,2,1,1.029022082,iCell Hepatocytes,Mitochondrial Integrity
Potassium chromate (VI),2,1,1.152050473,iCell Hepatocytes,Mitochondrial Integrity
Cobalt chloride,2,1,1.003785489,iCell Hepatocytes,Mitochondrial Integrity
Nickel chloride,2,1,1.080126183,iCell Hepatocytes,Mitochondrial Integrity
Benz(a)anthracene,1,10,1.055802254,iCell Hepatocytes,Mitochondrial Integrity
Naphthalene,1,10,1.042138931,iCell Hepatocytes,Mitochondrial Integrity
Fluoranthene,1,10,0.986243518,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDT",1,10,1.006117442,iCell Hepatocytes,Mitochondrial Integrity
Dieldrin,1,10,0.999906841,iCell Hepatocytes,Mitochondrial Integrity
Aldrin,1,10,1.016675465,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor,1,10,1.060149675,iCell Hepatocytes,Mitochondrial Integrity
Lindane,1,10,1.032201969,iCell Hepatocytes,Mitochondrial Integrity
Disulfoton,1,10,1.091202683,iCell Hepatocytes,Mitochondrial Integrity
Endrin,1,10,1.050212713,iCell Hepatocytes,Mitochondrial Integrity
Diazinon,1,10,0.976306555,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor epoxide,1,10,1.0800236,iCell Hepatocytes,Mitochondrial Integrity
Pentachlorophenol,1,10,1.023507127,iCell Hepatocytes,Mitochondrial Integrity
Dibutyl phthalate,1,10,1.054560134,iCell Hepatocytes,Mitochondrial Integrity
Chlorpyrifos,1,10,1.003012142,iCell Hepatocytes,Mitochondrial Integrity
Di(2-ethylhexyl) phthalate,1,10,0.981275036,iCell Hepatocytes,Mitochondrial Integrity
"2,4,6-Trichlorophenol",1,10,0.974443375,iCell Hepatocytes,Mitochondrial Integrity
Ethion,1,10,1.040275751,iCell Hepatocytes,Mitochondrial Integrity
Azinphos-methyl,1,10,0.9974226,iCell Hepatocytes,Mitochondrial Integrity
"2,4,5-Trichlorophenol",1,10,1.106729187,iCell Hepatocytes,Mitochondrial Integrity
Parathion,1,10,0.896189796,iCell Hepatocytes,Mitochondrial Integrity
Benzo(b)fluoranthene,1,10,0.921032202,iCell Hepatocytes,Mitochondrial Integrity
Trifluralin,1,10,0.930969164,iCell Hepatocytes,Mitochondrial Integrity
Acenaphthene,1,10,0.78750427,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDD",1,10,0.998664721,iCell Hepatocytes,Mitochondrial Integrity
Benzidine,1,10,0.922274322,iCell Hepatocytes,Mitochondrial Integrity
Endosulfan,1,10,1.027854548,iCell Hepatocytes,Mitochondrial Integrity
Methoxychlor,1,10,0.891842375,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrophenol",1,10,1.006117442,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrotoluene",1,10,0.895568736,iCell Hepatocytes,Mitochondrial Integrity
Dicofol,1,10,0.874452691,iCell Hepatocytes,Mitochondrial Integrity
p-Cresol,1,10,0.744030059,iCell Hepatocytes,Mitochondrial Integrity
"o,p'-DDT",1,10,0.91109524,iCell Hepatocytes,Mitochondrial Integrity
"2-Methyl-4,6-dinitrophenol",1,10,1.076297239,iCell Hepatocytes,Mitochondrial Integrity
"1,2,3-Trichlorobenzene",1,10,0.737819458,iCell Hepatocytes,Mitochondrial Integrity
Lead nitrate,1,10,0.95456945,iCell Hepatocytes,Mitochondrial Integrity
Cadmium chloride,1,10,0.008073782,iCell Hepatocytes,Mitochondrial Integrity
Zinc chloride,1,10,1.041517871,iCell Hepatocytes,Mitochondrial Integrity
Mercuric chloride,1,10,0.984380337,iCell Hepatocytes,Mitochondrial Integrity
Potassium chromate (VI),1,10,0.981275036,iCell Hepatocytes,Mitochondrial Integrity
Cobalt chloride,1,10,0.895568736,iCell Hepatocytes,Mitochondrial Integrity
Nickel chloride,1,10,0.812967736,iCell Hepatocytes,Mitochondrial Integrity
Benz(a)anthracene,2,10,1.055520505,iCell Hepatocytes,Mitochondrial Integrity
Naphthalene,2,10,1.026498423,iCell Hepatocytes,Mitochondrial Integrity
Fluoranthene,2,10,1.076340694,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDT",2,10,0.929968454,iCell Hepatocytes,Mitochondrial Integrity
Dieldrin,2,10,0.92681388,iCell Hepatocytes,Mitochondrial Integrity
Aldrin,2,10,0.984858044,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor,2,10,1.105362776,iCell Hepatocytes,Mitochondrial Integrity
Lindane,2,10,1.010725552,iCell Hepatocytes,Mitochondrial Integrity
Disulfoton,2,10,1.114195584,iCell Hepatocytes,Mitochondrial Integrity
Endrin,2,10,0.99873817,iCell Hepatocytes,Mitochondrial Integrity
Diazinon,2,10,1.058675079,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor epoxide,2,10,0.944479495,iCell Hepatocytes,Mitochondrial Integrity
Pentachlorophenol,2,10,1.010094637,iCell Hepatocytes,Mitochondrial Integrity
Dibutyl phthalate,2,10,1.00126183,iCell Hepatocytes,Mitochondrial Integrity
Chlorpyrifos,2,10,0.977917981,iCell Hepatocytes,Mitochondrial Integrity
Di(2-ethylhexyl) phthalate,2,10,0.912933754,iCell Hepatocytes,Mitochondrial Integrity
"2,4,6-Trichlorophenol",2,10,0.993059937,iCell Hepatocytes,Mitochondrial Integrity
Ethion,2,10,0.975394322,iCell Hepatocytes,Mitochondrial Integrity
Azinphos-methyl,2,10,1.031545741,iCell Hepatocytes,Mitochondrial Integrity
"2,4,5-Trichlorophenol",2,10,0.999369085,iCell Hepatocytes,Mitochondrial Integrity
Parathion,2,10,1.09148265,iCell Hepatocytes,Mitochondrial Integrity
Benzo(b)fluoranthene,2,10,1.153312303,iCell Hepatocytes,Mitochondrial Integrity
Trifluralin,2,10,1.070662461,iCell Hepatocytes,Mitochondrial Integrity
Acenaphthene,2,10,1.092113565,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDD",2,10,1.061198738,iCell Hepatocytes,Mitochondrial Integrity
Benzidine,2,10,1.064353312,iCell Hepatocytes,Mitochondrial Integrity
Endosulfan,2,10,1.047949527,iCell Hepatocytes,Mitochondrial Integrity
Methoxychlor,2,10,1.027129338,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrophenol",2,10,0.994952681,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrotoluene",2,10,1.046056782,iCell Hepatocytes,Mitochondrial Integrity
Dicofol,2,10,1.034700315,iCell Hepatocytes,Mitochondrial Integrity
p-Cresol,2,10,1.083911672,iCell Hepatocytes,Mitochondrial Integrity
"o,p'-DDT",2,10,1.007570978,iCell Hepatocytes,Mitochondrial Integrity
"2-Methyl-4,6-dinitrophenol",2,10,1.050473186,iCell Hepatocytes,Mitochondrial Integrity
"1,2,3-Trichlorobenzene",2,10,0.976025237,iCell Hepatocytes,Mitochondrial Integrity
Lead nitrate,2,10,1.047318612,iCell Hepatocytes,Mitochondrial Integrity
Cadmium chloride,2,10,0.016403785,iCell Hepatocytes,Mitochondrial Integrity
Zinc chloride,2,10,1.107886435,iCell Hepatocytes,Mitochondrial Integrity
Mercuric chloride,2,10,1.043533123,iCell Hepatocytes,Mitochondrial Integrity
Potassium chromate (VI),2,10,0.905362776,iCell Hepatocytes,Mitochondrial Integrity
Cobalt chloride,2,10,0.953312303,iCell Hepatocytes,Mitochondrial Integrity
Nickel chloride,2,10,1.066246057,iCell Hepatocytes,Mitochondrial Integrity
Benz(a)anthracene,1,100,1.009843803,iCell Hepatocytes,Mitochondrial Integrity
Naphthalene,1,100,1.059528615,iCell Hepatocytes,Mitochondrial Integrity
Fluoranthene,1,100,1.004254262,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDT",1,100,0.00062106,iCell Hepatocytes,Mitochondrial Integrity
Dieldrin,1,100,0.161475639,iCell Hepatocytes,Mitochondrial Integrity
Aldrin,1,100,0.008073782,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor,1,100,0.025463466,iCell Hepatocytes,Mitochondrial Integrity
Lindane,1,100,0.544048691,iCell Hepatocytes,Mitochondrial Integrity
Disulfoton,1,100,1.054560134,iCell Hepatocytes,Mitochondrial Integrity
Endrin,1,100,0.989969879,iCell Hepatocytes,Mitochondrial Integrity
Diazinon,1,100,0.631618172,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor epoxide,1,100,0.971338074,iCell Hepatocytes,Mitochondrial Integrity
Pentachlorophenol,1,100,0.056516474,iCell Hepatocytes,Mitochondrial Integrity
Dibutyl phthalate,1,100,0.82787318,iCell Hepatocytes,Mitochondrial Integrity
Chlorpyrifos,1,100,0.999285781,iCell Hepatocytes,Mitochondrial Integrity
Di(2-ethylhexyl) phthalate,1,100,0.942148247,iCell Hepatocytes,Mitochondrial Integrity
"2,4,6-Trichlorophenol",1,100,0.988106698,iCell Hepatocytes,Mitochondrial Integrity
Ethion,1,100,0.99493836,iCell Hepatocytes,Mitochondrial Integrity
Azinphos-methyl,1,100,0.901158277,iCell Hepatocytes,Mitochondrial Integrity
"2,4,5-Trichlorophenol",1,100,0.276992827,iCell Hepatocytes,Mitochondrial Integrity
Parathion,1,100,1.014812285,iCell Hepatocytes,Mitochondrial Integrity
Benzo(b)fluoranthene,1,100,1.020401826,iCell Hepatocytes,Mitochondrial Integrity
Trifluralin,1,100,0.70676645,iCell Hepatocytes,Mitochondrial Integrity
Acenaphthene,1,100,0.972580194,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDD",1,100,0.007452722,iCell Hepatocytes,Mitochondrial Integrity
Benzidine,1,100,0.66205012,iCell Hepatocytes,Mitochondrial Integrity
Endosulfan,1,100,0.003726361,iCell Hepatocytes,Mitochondrial Integrity
Methoxychlor,1,100,0.118001428,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrophenol",1,100,0.411141819,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrotoluene",1,100,1.021022886,iCell Hepatocytes,Mitochondrial Integrity
Dicofol,1,100,0.077011459,iCell Hepatocytes,Mitochondrial Integrity
p-Cresol,1,100,0.8291153,iCell Hepatocytes,Mitochondrial Integrity
"o,p'-DDT",1,100,0.004347421,iCell Hepatocytes,Mitochondrial Integrity
"2-Methyl-4,6-dinitrophenol",1,100,0.393131075,iCell Hepatocytes,Mitochondrial Integrity
"1,2,3-Trichlorobenzene",1,100,0.850231345,iCell Hepatocytes,Mitochondrial Integrity
Lead nitrate,1,100,0.95394839,iCell Hepatocytes,Mitochondrial Integrity
Cadmium chloride,1,100,0.019873925,iCell Hepatocytes,Mitochondrial Integrity
Zinc chloride,1,100,0.023600286,iCell Hepatocytes,Mitochondrial Integrity
Mercuric chloride,1,100,0.82973636,iCell Hepatocytes,Mitochondrial Integrity
Potassium chromate (VI),1,100,0.978790796,iCell Hepatocytes,Mitochondrial Integrity
Cobalt chloride,1,100,0.025463466,iCell Hepatocytes,Mitochondrial Integrity
Nickel chloride,1,100,0.103717045,iCell Hepatocytes,Mitochondrial Integrity
Benz(a)anthracene,2,100,1.027129338,iCell Hepatocytes,Mitochondrial Integrity
Naphthalene,2,100,1.111041009,iCell Hepatocytes,Mitochondrial Integrity
Fluoranthene,2,100,1.00126183,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDT",2,100,0.004416404,iCell Hepatocytes,Mitochondrial Integrity
Dieldrin,2,100,0.261198738,iCell Hepatocytes,Mitochondrial Integrity
Aldrin,2,100,0.14384858,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor,2,100,0.538801262,iCell Hepatocytes,Mitochondrial Integrity
Lindane,2,100,1.052996845,iCell Hepatocytes,Mitochondrial Integrity
Disulfoton,2,100,0.989905363,iCell Hepatocytes,Mitochondrial Integrity
Endrin,2,100,1.012618297,iCell Hepatocytes,Mitochondrial Integrity
Diazinon,2,100,0.757097792,iCell Hepatocytes,Mitochondrial Integrity
Heptachlor epoxide,2,100,1.022082019,iCell Hepatocytes,Mitochondrial Integrity
Pentachlorophenol,2,100,0.013880126,iCell Hepatocytes,Mitochondrial Integrity
Dibutyl phthalate,2,100,1.025867508,iCell Hepatocytes,Mitochondrial Integrity
Chlorpyrifos,2,100,0.885173502,iCell Hepatocytes,Mitochondrial Integrity
Di(2-ethylhexyl) phthalate,2,100,0.99873817,iCell Hepatocytes,Mitochondrial Integrity
"2,4,6-Trichlorophenol",2,100,1.041640379,iCell Hepatocytes,Mitochondrial Integrity
Ethion,2,100,1.047318612,iCell Hepatocytes,Mitochondrial Integrity
Azinphos-methyl,2,100,0.923028391,iCell Hepatocytes,Mitochondrial Integrity
"2,4,5-Trichlorophenol",2,100,0.270662461,iCell Hepatocytes,Mitochondrial Integrity
Parathion,2,100,1.140063091,iCell Hepatocytes,Mitochondrial Integrity
Benzo(b)fluoranthene,2,100,1.000630915,iCell Hepatocytes,Mitochondrial Integrity
Trifluralin,2,100,0.98044164,iCell Hepatocytes,Mitochondrial Integrity
Acenaphthene,2,100,1.076971609,iCell Hepatocytes,Mitochondrial Integrity
"p,p'-DDD",2,100,0.010094637,iCell Hepatocytes,Mitochondrial Integrity
Benzidine,2,100,0.943217666,iCell Hepatocytes,Mitochondrial Integrity
Endosulfan,2,100,0.006309148,iCell Hepatocytes,Mitochondrial Integrity
Methoxychlor,2,100,0.153943218,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrophenol",2,100,0.960883281,iCell Hepatocytes,Mitochondrial Integrity
"2,4-Dinitrotoluene",2,100,1.087066246,iCell Hepatocytes,Mitochondrial Integrity
Dicofol,2,100,0.134384858,iCell Hepatocytes,Mitochondrial Integrity
p-Cresol,2,100,1,iCell Hepatocytes,Mitochondrial Integrity
"o,p'-DDT",2,100,0.006309148,iCell Hepatocytes,Mitochondrial Integrity
"2-Methyl-4,6-dinitrophenol",2,100,0.305362776,iCell Hepatocytes,Mitochondrial Integrity
"1,2,3-Trichlorobenzene",2,100,1.020820189,iCell Hepatocytes,Mitochondrial Integrity
Lead nitrate,2,100,1.050473186,iCell Hepatocytes,Mitochondrial Integrity
Cadmium chloride,2,100,0.009463722,iCell Hepatocytes,Mitochondrial Integrity
Zinc chloride,2,100,0.017665615,iCell Hepatocytes,Mitochondrial Integrity
Mercuric chloride,2,100,1.066876972,iCell Hepatocytes,Mitochondrial Integrity
Potassium chromate (VI),2,100,1.09022082,iCell Hepatocytes,Mitochondrial Integrity
Cobalt chloride,2,100,0.034069401,iCell Hepatocytes,Mitochondrial Integrity
Nickel chloride,2,100,0.102839117,iCell Hepatocytes,Mitochondrial Integrity
Benz(a)anthracene,1,0.01,0.952883075,iCell Hepatocytes,Nuclei Mean Area
Naphthalene,1,0.01,0.95132635,iCell Hepatocytes,Nuclei Mean Area
Fluoranthene,1,0.01,0.963190035,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDT",1,0.01,0.966340638,iCell Hepatocytes,Nuclei Mean Area
Dieldrin,1,0.01,1.003860259,iCell Hepatocytes,Nuclei Mean Area
Aldrin,1,0.01,0.990096159,iCell Hepatocytes,Nuclei Mean Area
Heptachlor,1,0.01,1.030513319,iCell Hepatocytes,Nuclei Mean Area
Lindane,1,0.01,0.99977127,iCell Hepatocytes,Nuclei Mean Area
Disulfoton,1,0.01,0.965535111,iCell Hepatocytes,Nuclei Mean Area
Endrin,1,0.01,1.00429732,iCell Hepatocytes,Nuclei Mean Area
Diazinon,1,0.01,0.990592891,iCell Hepatocytes,Nuclei Mean Area
Heptachlor epoxide,1,0.01,1.002852627,iCell Hepatocytes,Nuclei Mean Area
Pentachlorophenol,1,0.01,0.956961456,iCell Hepatocytes,Nuclei Mean Area
Dibutyl phthalate,1,0.01,0.997837919,iCell Hepatocytes,Nuclei Mean Area
Chlorpyrifos,1,0.01,1.006172592,iCell Hepatocytes,Nuclei Mean Area
Di(2-ethylhexyl) phthalate,1,0.01,0.997060636,iCell Hepatocytes,Nuclei Mean Area
"2,4,6-Trichlorophenol",1,0.01,0.977861941,iCell Hepatocytes,Nuclei Mean Area
Ethion,1,0.01,1.00788582,iCell Hepatocytes,Nuclei Mean Area
Azinphos-methyl,1,0.01,0.989764188,iCell Hepatocytes,Nuclei Mean Area
"2,4,5-Trichlorophenol",1,0.01,0.985329251,iCell Hepatocytes,Nuclei Mean Area
Parathion,1,0.01,1.011828716,iCell Hepatocytes,Nuclei Mean Area
Benzo(b)fluoranthene,1,0.01,1.022804027,iCell Hepatocytes,Nuclei Mean Area
Trifluralin,1,0.01,1.048031629,iCell Hepatocytes,Nuclei Mean Area
Acenaphthene,1,0.01,1.043852849,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDD",1,0.01,0.965685711,iCell Hepatocytes,Nuclei Mean Area
Benzidine,1,0.01,1.032176444,iCell Hepatocytes,Nuclei Mean Area
Endosulfan,1,0.01,1.001393865,iCell Hepatocytes,Nuclei Mean Area
Methoxychlor,1,0.01,1.037907164,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrophenol",1,0.01,0.993434792,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrotoluene",1,0.01,0.999554714,iCell Hepatocytes,Nuclei Mean Area
Dicofol,1,0.01,0.991550794,iCell Hepatocytes,Nuclei Mean Area
p-Cresol,1,0.01,1.038423506,iCell Hepatocytes,Nuclei Mean Area
"o,p'-DDT",1,0.01,0.986808564,iCell Hepatocytes,Nuclei Mean Area
"2-Methyl-4,6-dinitrophenol",1,0.01,1.01172691,iCell Hepatocytes,Nuclei Mean Area
"1,2,3-Trichlorobenzene",1,0.01,1.021536763,iCell Hepatocytes,Nuclei Mean Area
Lead nitrate,1,0.01,0.994087468,iCell Hepatocytes,Nuclei Mean Area
Cadmium chloride,1,0.01,0.987723681,iCell Hepatocytes,Nuclei Mean Area
Zinc chloride,1,0.01,1.064062182,iCell Hepatocytes,Nuclei Mean Area
Mercuric chloride,1,0.01,0.968993002,iCell Hepatocytes,Nuclei Mean Area
Potassium chromate (VI),1,0.01,0.986297664,iCell Hepatocytes,Nuclei Mean Area
Cobalt chloride,1,0.01,0.99456234,iCell Hepatocytes,Nuclei Mean Area
Nickel chloride,1,0.01,1.006230296,iCell Hepatocytes,Nuclei Mean Area
Benz(a)anthracene,2,0.01,0.973611591,iCell Hepatocytes,Nuclei Mean Area
Naphthalene,2,0.01,0.955745208,iCell Hepatocytes,Nuclei Mean Area
Fluoranthene,2,0.01,0.955230827,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDT",2,0.01,0.978262739,iCell Hepatocytes,Nuclei Mean Area
Dieldrin,2,0.01,0.948916915,iCell Hepatocytes,Nuclei Mean Area
Aldrin,2,0.01,0.964430996,iCell Hepatocytes,Nuclei Mean Area
Heptachlor,2,0.01,0.972984917,iCell Hepatocytes,Nuclei Mean Area
Lindane,2,0.01,0.972241758,iCell Hepatocytes,Nuclei Mean Area
Disulfoton,2,0.01,0.995001237,iCell Hepatocytes,Nuclei Mean Area
Endrin,2,0.01,0.933649549,iCell Hepatocytes,Nuclei Mean Area
Diazinon,2,0.01,0.949378867,iCell Hepatocytes,Nuclei Mean Area
Heptachlor epoxide,2,0.01,0.954130128,iCell Hepatocytes,Nuclei Mean Area
Pentachlorophenol,2,0.01,0.943549325,iCell Hepatocytes,Nuclei Mean Area
Dibutyl phthalate,2,0.01,0.965989162,iCell Hepatocytes,Nuclei Mean Area
Chlorpyrifos,2,0.01,0.961360431,iCell Hepatocytes,Nuclei Mean Area
Di(2-ethylhexyl) phthalate,2,0.01,0.986486119,iCell Hepatocytes,Nuclei Mean Area
"2,4,6-Trichlorophenol",2,0.01,0.981173711,iCell Hepatocytes,Nuclei Mean Area
Ethion,2,0.01,0.945918736,iCell Hepatocytes,Nuclei Mean Area
Azinphos-methyl,2,0.01,0.983821132,iCell Hepatocytes,Nuclei Mean Area
"2,4,5-Trichlorophenol",2,0.01,0.97385574,iCell Hepatocytes,Nuclei Mean Area
Parathion,2,0.01,0.896614222,iCell Hepatocytes,Nuclei Mean Area
Benzo(b)fluoranthene,2,0.01,0.959834207,iCell Hepatocytes,Nuclei Mean Area
Trifluralin,2,0.01,1.053402612,iCell Hepatocytes,Nuclei Mean Area
Acenaphthene,2,0.01,1.003566511,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDD",2,0.01,1.050541142,iCell Hepatocytes,Nuclei Mean Area
Benzidine,2,0.01,1.069653813,iCell Hepatocytes,Nuclei Mean Area
Endosulfan,2,0.01,1.085322001,iCell Hepatocytes,Nuclei Mean Area
Methoxychlor,2,0.01,1.095379266,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrophenol",2,0.01,1.08738503,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrotoluene",2,0.01,1.079399028,iCell Hepatocytes,Nuclei Mean Area
Dicofol,2,0.01,1.076924382,iCell Hepatocytes,Nuclei Mean Area
p-Cresol,2,0.01,1.035170461,iCell Hepatocytes,Nuclei Mean Area
"o,p'-DDT",2,0.01,1.073176448,iCell Hepatocytes,Nuclei Mean Area
"2-Methyl-4,6-dinitrophenol",2,0.01,1.007496091,iCell Hepatocytes,Nuclei Mean Area
"1,2,3-Trichlorobenzene",2,0.01,1.07471054,iCell Hepatocytes,Nuclei Mean Area
Lead nitrate,2,0.01,1.040214653,iCell Hepatocytes,Nuclei Mean Area
Cadmium chloride,2,0.01,1.085012416,iCell Hepatocytes,Nuclei Mean Area
Zinc chloride,2,0.01,1.087936294,iCell Hepatocytes,Nuclei Mean Area
Mercuric chloride,2,0.01,1.078178083,iCell Hepatocytes,Nuclei Mean Area
Potassium chromate (VI),2,0.01,1.054399258,iCell Hepatocytes,Nuclei Mean Area
Cobalt chloride,2,0.01,0.971365903,iCell Hepatocytes,Nuclei Mean Area
Nickel chloride,2,0.01,0.983867617,iCell Hepatocytes,Nuclei Mean Area
Benz(a)anthracene,1,0.1,0.993167191,iCell Hepatocytes,Nuclei Mean Area
Naphthalene,1,0.1,0.988991314,iCell Hepatocytes,Nuclei Mean Area
Fluoranthene,1,0.1,0.975554861,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDT",1,0.1,1.041706219,iCell Hepatocytes,Nuclei Mean Area
Dieldrin,1,0.1,0.970991571,iCell Hepatocytes,Nuclei Mean Area
Aldrin,1,0.1,1.015534032,iCell Hepatocytes,Nuclei Mean Area
Heptachlor,1,0.1,1.003637136,iCell Hepatocytes,Nuclei Mean Area
Lindane,1,0.1,0.990157614,iCell Hepatocytes,Nuclei Mean Area
Disulfoton,1,0.1,0.978920895,iCell Hepatocytes,Nuclei Mean Area
Endrin,1,0.1,1.047267953,iCell Hepatocytes,Nuclei Mean Area
Diazinon,1,0.1,1.034115526,iCell Hepatocytes,Nuclei Mean Area
Heptachlor epoxide,1,0.1,1.054901814,iCell Hepatocytes,Nuclei Mean Area
Pentachlorophenol,1,0.1,1.000924528,iCell Hepatocytes,Nuclei Mean Area
Dibutyl phthalate,1,0.1,0.999365651,iCell Hepatocytes,Nuclei Mean Area
Chlorpyrifos,1,0.1,1.003172023,iCell Hepatocytes,Nuclei Mean Area
Di(2-ethylhexyl) phthalate,1,0.1,1.042258878,iCell Hepatocytes,Nuclei Mean Area
"2,4,6-Trichlorophenol",1,0.1,1.011833685,iCell Hepatocytes,Nuclei Mean Area
Ethion,1,0.1,1.020362961,iCell Hepatocytes,Nuclei Mean Area
Azinphos-methyl,1,0.1,0.992605056,iCell Hepatocytes,Nuclei Mean Area
"2,4,5-Trichlorophenol",1,0.1,1.02919455,iCell Hepatocytes,Nuclei Mean Area
Parathion,1,0.1,0.985643112,iCell Hepatocytes,Nuclei Mean Area
Benzo(b)fluoranthene,1,0.1,0.983557003,iCell Hepatocytes,Nuclei Mean Area
Trifluralin,1,0.1,0.968421772,iCell Hepatocytes,Nuclei Mean Area
Acenaphthene,1,0.1,0.954122372,iCell Hepatocytes,Nuclei Mean Area
"p,p'-DDD",1,0.1,1.000634968,iCell Hepatocytes,Nuclei Mean Area
Benzidine,1,0.1,0.987253784,iCell Hepatocytes,Nuclei Mean Area
Endosulfan,1,0.1,1.016944849,iCell Hepatocytes,Nuclei Mean Area
Methoxychlor,1,0.1,0.964451198,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrophenol",1,0.1,0.96388803,iCell Hepatocytes,Nuclei Mean Area
"2,4-Dinitrotoluene",1,0.1,0.925321464,iCell Hepatocytes,Nuclei Mean Area
Dicofol,1,0.1,0.998213703,iCell Hepatocytes,Nuclei Mean Area
p-Cresol,1,0.1,0.953963237,iCell Hepatocytes,Nuclei Mean Area
"o,p'-DDT",1,0.1,0.959725386,iCell Hepatocytes,Nuclei Mean Area
"2-Methyl-4,6-dinitrophenol",1,0.1,0.944727338,iCell Hepatocytes,Nuclei Mean Area
"1,2,3-Trichlorobenzene",1,0.1,0.961385977,iCell Hepatocytes,Nuclei Mean Area
Lead nitrate,1,0.1,0.972758753,iCell Hepatocytes,Nuclei Mean Area
Cadmium chloride,1,0.1,0.756949913,iCell Hepatocytes,Nuclei Mean Area
Zinc chloride,1,0.1,0.957790067,iCell Hepatocytes,Nuclei Mean Area
Mercuric chloride,1,0.1,0.974668927,iCell Hepatocytes,Nuclei Mean Area
